"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"57","OAK","OAK",2018,"314","18.2","0.278","0.111","0.500","0.389","0.326","0.345","0.306","5","18","91.7","8.3","2401","85.0","84.15","12","34","23","-0.9","5.57","108","150","109","149","285","319","298"
"51","MIL","MIL",2018,"476","10.7","0.417","0.000","0.500","0.417","0.391","0.365","0.327","5","12","87.3","23.3","2400","81.5","80.77","7","27","24","-0.7","5.76","112","155","118","148","293","313","287"
"39","CHC","CHC",2022,"412","9.5","0.167","0.000","0.250","0.167","0.229","0.210","0.103","1","6","90.7","15.0","2399","82.6","81.50","6","16","23","-1.1","6.06","108","154","114","149","302","324","290"
"81","PHI","PHI",2019,"461","17.6","0.211","0.368","0.143","0.579","0.350","0.408","0.282","4","19","89.6","-4.9","2390","85.8","85.25","11","36","45","-0.6","5.89","111","152","121","149","305","323","307"
"189","LAD","LAD",2018,"1017","18.6","0.156","0.111","0.222","0.267","0.196","0.167","0.145","7","45","85.7","0.5","2390","85.8","85.19","35","97","92","-0.6","5.92","109","152","111","147","289","322","299"
"146","ATL","ATL",2021,"561","26.0","0.108","0.081","0.125","0.189","0.141","0.185","0.153","4","37","85.5","0.2","2389","84.6","84.28","26","70","76","-0.3","6.18","109","151","119","146","292","321","300"
"56","NYM","NYM",2018,"460","12.2","0.091","0.091","0.111","0.182","0.267","0.328","0.212","1","11","82.8","4.7","2387","88.5","88.68","4","32","24","0.2","6.35","114","149","111","148","287","316","297"
"61","SEA","SEA",2019,"207","29.5","0.125","0.188","0.071","0.313","0.176","0.264","0.187","2","16","86.0","22.8","2386","85.3","84.84","8","34","27","-0.5","5.97","112","155","113","147","303","327","299"
"31","CHC","CHC",2019,"645","4.8","0.250","0.000","0.500","0.250","0.312","0.178","0.052","1","4","59.3","-25.0","2386","81.2","80.52","6","11","20","-0.7","6.01","114","151","113","147","297","326","297"
"281","SF","SF",2022,"967","29.1","0.209","0.134","0.255","0.343","0.271","0.267","0.215","14","67","87.2","16.1","2384","83.8","83.61","39","129","152","-0.2","6.29","112","152","115","149","297","323","296"
"73","SEA","SEA",2022,"315","23.2","0.133","0.067","0.222","0.200","0.207","0.173","0.114","2","15","78.6","15.6","2384","86.5","86.91","10","37","36","0.4","6.54","108","151","125","148","292","324","297"
"82","NYM","NYM",2019,"405","20.2","0.231","0.269","0.235","0.500","0.285","0.288","0.265","6","26","89.3","7.5","2383","88.7","88.88","19","47","35","0.2","6.32","116","149","112","145","303","322","292"
"88","COL","COL",2020,"419","21.0","0.304","0.174","0.353","0.478","0.398","0.380","0.276","7","23","84.5","3.2","2380","86.6","86.82","14","41","47","0.2","6.35","113","152","114","146","295","327","299"
"119","MIA","MIA",2018,"566","21.0","0.259","0.148","0.353","0.407","0.284","0.346","0.304","7","27","87.6","-3.0","2380","83.2","82.09","16","51","68","-1.1","5.61","103","147","108","146","294","321","299"
"93","ATL","ATL",2022,"605","15.4","0.143","0.000","0.182","0.143","0.126","0.155","0.152","2","14","81.7","22.7","2379","82.8","82.54","13","37","56","-0.3","6.38","117","152","129","145","302","336","302"
"191","ARI","ARI",2021,"1457","13.1","0.283","0.196","0.379","0.478","0.351","0.260","0.173","13","46","87.2","10.8","2370","84.7","84.42","31","92","99","-0.3","6.14","104","150","119","148","297","322","303"
"56","TEX","TEX",2018,"447","12.5","0.100","0.100","0.154","0.200","0.174","0.220","0.182","2","20","81.8","10.8","2368","85.3","84.57","13","33","23","-0.7","5.88","107","151","114","148","286","303","293"
"111","WSH","WSH",2021,"659","16.8","0.192","0.269","0.250","0.462","0.314","0.287","0.177","5","26","89.8","19.4","2367","82.5","82.40","27","52","59","-0.1","6.30","112","152","124","147","292","323","295"
"324","SF","SF",2021,"1317","24.6","0.301","0.219","0.321","0.521","0.368","0.317","0.272","22","73","86.6","7.2","2359","83.4","83.39","38","143","181","0.0","6.32","110","154","116","148","298","323","299"
"46","HOU","HOU",2020,"420","11.0","0.313","0.188","0.333","0.500","0.365","0.379","0.289","5","16","90.7","20.3","2358","85.3","84.97","7","28","18","-0.3","6.03","112","148","118","148","294","325","310"
"71","PHI","PHI",2022,"497","14.3","0.000","0.000","0.000","0.000","0.033","0.172","0.158","0","20","82.1","-0.2","2354","85.0","84.58","18","39","32","-0.4","6.12","113","153","115","149","295","325","296"
